"","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)"
""," 2016"," 2016"," 2016"," 2015"," 2015"," 2015"," 2010"," 2010"," 2010"," 2000"," 2000"," 2000"
"Country"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Turkmenistan","7.2","11","3.7","7.5","11.6","3.8","7.7","12.2","3.6","9.9","16.4","4"
"Uganda","20","21.2","18.7","20.2","21.1","19.2","21.8","21.2","22","22.8","21.2","23.9"
"Ukraine","18.5","34.5","4.7","19","35.2","5.1","22.6","41.5","6.4","32","58.1","9.5"
"United Arab Emirates","2.7","3.5","0.8","2.7","3.5","0.8","2.8","3.6","0.9","3.4","4.3","1.5"
"United Kingdom of Great Britain and Northern Ireland","7.6","11.9","3.5","7.6","11.6","3.7","6.9","10.6","3.2","8.1","12.7","3.8"
"United Republic of Tanzania","9.6","14.3","5.4","9.5","14.2","5.3","9.3","13.8","5.2","11.8","18.2","6.4"
"United States of America","13.7","21.1","6.4","13.3","20.5","6.3","11.8","18.6","5.2","10.1","16.5","4.1"
"Uruguay","16.5","26.8","7.1","17.4","28.9","7","14.9","24.3","6.7","15.9","28","5.5"
"Uzbekistan","7.4","10.3","4.6","7.4","10.4","4.5","6","8.9","3.3","9.1","13.9","4.5"
"Vanuatu","5.4","8.1","2.7","5.5","8.3","2.7","6.2","9.1","3.2","8.7","12.3","5.1"
"Venezuela (Bolivarian Republic of)","3.8","6.6","1.2","3.9","6.8","1.2","4.5","7.7","1.5","9.1","16.1","2.4"
"Viet Nam","7","10.8","3.4","7","10.9","3.5","7.1","11","3.5","7.5","11.5","3.9"
"Yemen","9.8","13.4","6.2","9.9","13.6","6.3","10.6","14.6","6.6","9.1","12.8","5.5"
"Zambia","11.3","17.5","6.2","11.2","17.4","6.1","11.5","17.9","6.2","14.1","21.9","7.5"
"Zimbabwe","19.1","29.1","11.1","18.9","28.7","11.1","20.6","32.3","11.1","21.7","35.5","9.8"
